repo_id,repo_name,description,stars,openrank_latest,openrank_trend,language,created_at,topics,categories
730534580,infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,78808,90.31,"[295.92, 250.46, 214.09, 186.37, 183.31, 170.72, 141.56, 139.78, 141.73, 131.27, 103.92, 90.31]",Python,2023-12-12,"agent,agentic,agentic-ai,agentic-workflow,ai,context-engineering,context-retrieval,deep-research,deepseek,deepseek-r1,document-understanding,graphrag,harness,llm,mcp,ollama,openai,openclaw,rag,retrieval-augmented-generation",Vector Database & RAG|Workflow Orchestration|MCP (Model Context Protocol)|LLM Inference|GraphRAG & Knowledge Graph|Memory & Knowledge|LLM SDK & Library|Data Processing & ETL
771302083,OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development,71851,51.7,"[null, null, null, null, null, null, 77.48, 60.82, 55.89, 53.38, 47.12, 51.7]",Python,2024-03-13,"agent,artificial-intelligence,chatgpt,claude-ai,cli,developer-tools,gpt,llm,openai",LLM SDK & Library|Observability & Evaluation|Coding Agent|Agent Framework|AI Infrastructure & Platform|API & Backend Service
599320067,langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,147285,84.88,"[191.43, 185.18, 174.26, 166.52, 148.4, 142.45, 128.0, 117.99, 115.31, 105.1, 91.79, 84.88]",Python,2023-02-08,"agents,chatgpt,generative-ai,large-language-models,multiagent,react-flow",Workflow Orchestration|MCP (Model Context Protocol)|Agent Framework|Observability & Evaluation|Multi-Agent System|Tool & Integration Platform|LLM SDK & Library
644461337,vercel/ai,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents ",23724,91.14,"[163.53, 152.49, 139.42, 175.02, 210.56, 186.77, 161.38, 154.37, 154.62, 128.55, 90.92, 91.14]",TypeScript,2023-05-23,"anthropic,artificial-intelligence,gemini,generative-ai,generative-ui,javascript,language-model,llm,nextjs,openai,react,svelte,typescript,vercel,vue",LLM SDK & Library|LLM Gateway & Proxy|Coding Agent|Speech & Voice AI
575865240,AstrBotDevs/AstrBot,"AI Agent Assistant that integrates lots of IM platforms, LLMs, plugins and AI feature, and can be your openclaw alternative. ✨",30503,91.91,"[90.95, 91.69, 81.97, 80.29, 70.03, 65.8, 69.08, 72.08, 67.79, 70.55, 84.29, 91.91]",Python,2022-12-08,"agent,ai,chatbot,chatgpt,discord,docker,gemini,gpt,llama,llm,mcp,openai,python,qq,qqbot,telegram",AI Infrastructure & Platform|MCP (Model Context Protocol)|Workflow Orchestration|Memory & Knowledge|Search & Information Retrieval
818331198,pydantic/pydantic-ai,"AI Agent Framework, the Pydantic way",16565,80.12,"[135.98, 135.51, 122.62, 112.99, 127.27, 108.13, 97.22, 105.61, 110.47, 92.16, 82.5, 80.12]",Python,2024-06-21,"agent-framework,genai,llm,pydantic,python",Agent Framework|Observability & Evaluation|MCP (Model Context Protocol)|LLM SDK & Library|Coding Agent|A2A Protocol|Search & Information Retrieval|API & Backend Service|LLM Inference|LLM Gateway & Proxy|Multi-Agent System|Autonomous Agent|Notebook & Development Environment
656099147,mem0ai/mem0,Universal memory layer for AI Agents,53865,22.15,"[44.17, 68.42, 63.16, 64.09, 56.3, 48.64, 47.04, 33.11, 22.37, 17.07, 19.84, 22.15]",Python,2023-06-20,"agents,ai,ai-agents,application,chatbots,chatgpt,genai,llm,long-term-memory,memory,memory-management,python,rag,state-management",Memory & Knowledge|Agent Framework|Vector Database & RAG|Multi-Agent System|Observability & Evaluation|LLM SDK & Library|GraphRAG & Knowledge Graph
440752086,coder/coder,Secure environments for developers and their agents,12979,94.25,"[109.13, 104.95, 110.42, 106.11, 100.3, 110.61, 107.26, 89.66, 81.79, 78.85, 81.12, 94.25]",Go,2021-12-22,"agents,dev-tools,development-environment,go,golang,ide,jetbrains,remote-development,terraform,vscode",AI Infrastructure & Platform|Notebook & Development Environment
946087422,Kilo-Org/kilocode,"Kilo is the all-in-one agentic engineering platform. Build, ship, and iterate faster with the most popular open source coding agent.",18462,72.72,"[16.86, 25.62, 40.76, 64.49, 83.79, 93.73, 95.95, 110.52, 110.76, 115.33, 81.0, 72.72]",TypeScript,2025-03-10,"ai,ai-age,ai-coding,ai-developer-tools,chatgpt,claude,cli,gemini,jetbrains,sonnet,vscode,vscode-extension",Coding Agent|MCP (Model Context Protocol)|Hardware & Edge AI|Workflow Orchestration|Tool & Integration Platform|AI Infrastructure & Platform
573661753,activepieces/activepieces,AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents,21824,74.6,"[62.56, 72.02, 73.05, 77.69, 78.51, 93.49, 95.39, 86.17, 59.86, 54.55, 72.36, 74.6]",TypeScript,2022-12-03,"ai-agent,ai-agent-tools,ai-agents,ai-agents-framework,mcp,mcp-server,mcp-tools,mcps,n8n-alternative,no-code-automation,workflow,workflow-automation,workflows",Workflow Orchestration|MCP (Model Context Protocol)|Coding Agent|Tool & Integration Platform|Chat UI & Frontend|LLM SDK & Library
955620917,upstash/context7,Context7 Platform -- Up-to-date code documentation for LLMs and AI code editors,53498,36.4,"[35.97, 42.56, 39.08, 41.15, 37.95, 38.51, 38.7, 42.51, 41.52, 38.39, 40.7, 36.4]",TypeScript,2025-03-26,"llm,mcp,mcp-server,vibe-coding",MCP (Model Context Protocol)|LLM SDK & Library|Coding Agent|API & Backend Service|Tool & Integration Platform
707441527,livekit/agents,A framework for building realtime voice AI agents 🤖🎙️📹 ,10170,64.71,"[114.76, 121.68, 112.85, 107.04, 104.29, 94.96, 90.96, 97.73, 84.59, 77.3, 71.16, 64.71]",Python,2023-10-19,"agents,ai,openai,real-time,video,voice",Speech & Voice AI|MCP (Model Context Protocol)|Coding Agent|LLM SDK & Library|Agent Framework|LLM Gateway & Proxy|Multi-Agent System|Workflow Orchestration|Tool & Integration Platform
958830659,google/adk-python,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",19206,57.11,"[81.89, 139.77, 137.31, 130.52, 114.2, 92.2, 88.08, 99.76, 92.71, 81.67, 69.18, 57.11]",Python,2025-04-01,"agent,agentic,agentic-ai,agents,agents-sdk,ai,ai-agents,aiagentframework,genai,genai-chatbot,llm,llms,multi-agent,multi-agent-systems,multi-agents,multi-agents-collaboration",Agent Framework|A2A Protocol|Multi-Agent System|MCP (Model Context Protocol)|Workflow Orchestration|LLM SDK & Library|API & Backend Service
678526156,marimo-team/marimo,"A reactive notebook for Python — run reproducible experiments, query with SQL, execute as a script, deploy as an app, and version with git. Stored as pure Python. All in a modern, AI-native editor.",20572,57.47,"[95.42, 96.37, 98.1, 95.03, 91.22, 89.09, 83.31, 74.58, 69.95, 70.93, 67.52, 57.47]",Python,2023-08-14,"artificial-intelligence,dag,data-science,data-visualization,dataflow,developer-tools,machine-learning,notebooks,pipeline,python,reactive,sql,web-app",Notebook & Development Environment|Coding Agent|Memory & Knowledge
644686905,continuedev/continue,"⏩ Source-controlled AI checks, enforceable in CI. Powered by the open-source Continue CLI",32737,59.56,"[230.86, 227.19, 181.91, 165.15, 152.07, 138.57, 115.14, 100.32, 85.66, 80.94, 67.74, 59.56]",TypeScript,2023-05-24,"agent,ai,cli,developer-tools,jetbrains-plugin,llm,open-source,vs-code-extenstion",Coding Agent
552661142,langchain-ai/langchain,The agent engineering platform,134586,58.48,"[168.61, 125.16, 109.28, 115.0, 108.95, 96.17, 97.66, 88.13, 89.62, 81.73, 66.32, 58.48]",Python,2022-10-17,"agents,ai,ai-agents,anthropic,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag",Agent Framework|Observability & Evaluation|Workflow Orchestration|Vector Database & RAG|LLM SDK & Library
805155266,CherryHQ/cherry-studio,"AI productivity studio with smart chat, autonomous agents, and 300+ assistants. Unified access to frontier LLMs",44131,107.39,"[481.01, 443.4, 382.97, 374.67, 351.24, 311.62, 244.21, 188.22, 181.99, 155.43, 121.07, 107.39]",TypeScript,2024-05-24,"agency-agents,ai-agent,claude-code,codex,open-cli,openclaw,opencode,skills,superpowers,vibe-coding",Chat UI & Frontend|MCP (Model Context Protocol)|Coding Agent|Speech & Voice AI|Memory & Knowledge|LLM Inference|Data Processing & ETL
1108837393,code-yeongyu/oh-my-opencode,omo; the best agent harness - previously oh-my-opencode,53586,,"[null, null, null, null, null, null, null, null, 25.94, 102.28, 104.4]",TypeScript,2025-12-03,"ai,ai-agents,amp,anthropic,chatgpt,claude,claude-code,claude-skills,cursor,gemini,ide,openai,opencode,orchestration,tui,typescript",Coding Agent|Workflow Orchestration|Agent Framework|Notebook & Development Environment
488641606,agno-agi/agno,"Build, run, manage agentic software at scale.",39619,71.52,"[123.29, 124.67, 123.8, 122.51, 125.69, 128.79, 115.37, 99.51, 108.44, 102.04, 82.6, 71.52]",Python,2022-05-04,"agents,ai,ai-agents,developer-tools,python",Agent Framework|MCP (Model Context Protocol)|Observability & Evaluation|Coding Agent|Multi-Agent System|Memory & Knowledge|API & Backend Service|Notebook & Development Environment
748713144,huggingface/lerobot,🤗 LeRobot: Making AI for Robotics more accessible with end-to-end learning,23479,46.7,"[77.26, 78.93, 97.96, 105.26, 95.41, 90.64, 89.72, 89.03, 80.13, 69.12, 55.92, 46.7]",Python,2024-01-26,,Robotics & Embodied AI|Observability & Evaluation|Model Training & Fine-tuning|LLM SDK & Library|Deep Learning Core
600596928,danny-avila/LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active.",35886,49.39,"[116.21, 119.53, 110.53, 108.93, 110.6, 106.75, 99.32, 88.54, 76.86, 65.62, 55.85, 49.39]",TypeScript,2023-02-12,"ai,anthropic,artifacts,aws,azure,chatgpt,chatgpt-clone,claude,clone,deepseek,gemini,google,gpt-5,librechat,mcp,o1,openai,responses-api,vision,webui",MCP (Model Context Protocol)|Speech & Voice AI|Image & Video Generation|LLM Gateway & Proxy|Coding Agent|Agent Framework|LLM Inference|Workflow Orchestration|Vector Database & RAG|Memory & Knowledge|Search & Information Retrieval|Tool & Integration Platform|Chat UI & Frontend|AI Infrastructure & Platform|Deep Learning Core
1048065319,thedotmack/claude-mem,"A Claude Code plugin that automatically captures everything Claude does during your coding sessions, compresses it with AI (using Claude's agent-sdk), and injects relevant context back into future sessions.",66030,35.27,"[null, null, null, null, null, 0.81, 3.98, 7.4, 40.77, 43.31, 46.68, 35.27]",TypeScript,2025-08-31,"ai,ai-agents,ai-memory,anthropic,artificial-intelligence,chromadb,claude,claude-agent-sdk,claude-agents,claude-code,claude-code-plugin,claude-skills,embeddings,long-term-memory,mem0,memory-engine,openmemory,rag,sqlite,supermemory",Memory & Knowledge|LLM SDK & Library|Vector Database & RAG|Coding Agent|Notebook & Development Environment|MCP (Model Context Protocol)
736272311,pipecat-ai/pipecat,Open Source framework for voice and multimodal conversational AI,11508,51.63,"[80.22, 86.57, 73.93, 74.51, 65.03, 63.67, 57.15, 59.0, 54.23, 54.72, 55.3, 51.63]",Python,2023-12-27,"ai,chatbot-framework,chatbots,real-time,voice,voice-assistant",Speech & Voice AI|Agent Framework|Multi-Agent System|Hardware & Edge AI|Model Training & Fine-tuning
914053359,OpenMind/OM1,Modular AI runtime for robots,2763,33.18,"[null, null, null, 15.06, 11.41, 12.26, 18.96, 19.02, 18.58, 75.82, 55.08, 33.18]",Python,2025-01-08,"llm,multiagent,robotics,ros2,zenoh",Robotics & Embodied AI|Speech & Voice AI|Memory & Knowledge|LLM SDK & Library|LLM Inference|Observability & Evaluation|Deep Learning Core
987670088,charmbracelet/crush,Glamourous agentic coding for all 💘,23362,35.67,"[null, null, null, 23.04, 95.38, 79.46, 64.24, 48.77, 53.58, 57.65, 51.87, 35.67]",Go,2025-05-21,"agentic-ai,ai,llms,ravishing",LLM Gateway & Proxy|LLM SDK & Library|Coding Agent
717197250,QuantumNous/new-api,"A unified AI model hub for aggregation & distribution. It supports cross-converting various LLMs into OpenAI-compatible, Claude-compatible, or Gemini-compatible formats. A centralized gateway for personal and enterprise model management. 🍥",28433,54.41,"[54.05, 53.41, 56.77, 58.21, 66.47, 63.97, 53.98, 52.83, 53.3, 53.79, 50.89, 54.41]",Go,2023-11-10,"ai-gateway,claude,deepseek,gemini,newapi,openai,rerank",LLM Gateway & Proxy|Tool & Integration Platform|Chat UI & Frontend
1031912724,farion1231/cc-switch,"A cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI.",49511,68.95,"[null, null, null, null, 2.52, 15.49, 20.01, 24.9, 35.19, 47.64, 54.57, 68.95]",Rust,2025-08-04,"ai-tools,claude-code,codex,desktop-app,mcp,minimax,omo,open-source,openclaw,openclaw-ui,opencode,provider-management,rust,skills,skills-management,tauri,typescript,wsl-support",Coding Agent|MCP (Model Context Protocol)|Speech & Voice AI|Observability & Evaluation|AI Infrastructure & Platform
1156956890,zeroclaw-labs/zeroclaw,"Fast, small, and fully autonomous AI personal assistant infrastructure, ANY OS, ANY PLATFORM — deploy anywhere, swap anything 🦀",30502,102.36,"[null, null, null, null, null, null, null, null, null, null, 70.48, 102.36]",Rust,2026-02-13,"agent,agentic,ai,infra,ml,openclaw,os,zeroclaw",Memory & Knowledge|Coding Agent|Hardware & Edge AI|Autonomous Agent|Workflow Orchestration
1002125012,BloopAI/vibe-kanban,"Get 10X more out of Claude Code, Codex or any coding agent",25458,51.27,"[null, null, null, 15.8, 20.57, 25.92, 28.99, 28.22, 31.51, 63.78, 60.2, 51.27]",Rust,2025-06-14,"agent,ai-agents,kanban,management,task-manager",Coding Agent|MCP (Model Context Protocol)|Chat UI & Frontend|API & Backend Service|LLM Gateway & Proxy|Workflow Orchestration
710601088,crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",49631,40.81,"[93.14, 88.46, 67.38, 66.58, 62.97, 59.05, 55.88, 50.98, 50.83, 42.22, 44.51, 40.81]",Python,2023-10-27,"agents,ai,ai-agents,aiagentframework,llms",Agent Framework|Multi-Agent System|Coding Agent|MCP (Model Context Protocol)|Observability & Evaluation|Autonomous Agent|Workflow Orchestration|Memory & Knowledge
558188628,alibaba/higress,🤖 AI Gateway | AI Native API Gateway,8235,47.51,"[62.18, 69.74, 77.25, 74.02, 79.24, 70.17, 72.38, 63.39, 56.01, 58.93, 47.97, 47.51]",Go,2022-10-27,"ai-gateway,ai-native,api-gateway,cloud-native,envoy",MCP (Model Context Protocol)|LLM Gateway & Proxy|Tool & Integration Platform|Observability & Evaluation|AI Infrastructure & Platform|Memory & Knowledge|LLM SDK & Library
954873280,a2aproject/A2A,Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications.,23379,14.67,"[null, null, 38.14, 32.18, 23.58, 24.72, 18.86, 16.8, 18.51, 17.88, 15.2, 14.67]",Shell,2025-03-25,"a2a,a2a-mcp,a2a-protocol,a2a-server,agents,generative-ai,linux-foundation",A2A Protocol|LLM SDK & Library|Agent Framework|MCP (Model Context Protocol)|Multi-Agent System|Memory & Knowledge|Speech & Voice AI|Observability & Evaluation
839037098,mastra-ai/mastra,"From the team behind Gatsby, Mastra is a framework for building AI-powered applications and agents with a modern TypeScript stack.",23243,132.89,"[110.2, 126.42, 139.58, 153.83, 158.17, 162.95, 168.33, 164.27, 140.92, 142.08, 139.87, 132.89]",TypeScript,2024-08-06,"agents,ai,chatbots,evals,javascript,llm,mcp,nextjs,nodejs,reactjs,tts,typescript,workflows",MCP (Model Context Protocol)|Memory & Knowledge|Workflow Orchestration|Observability & Evaluation|LLM Gateway & Proxy|Speech & Voice AI|Vector Database & RAG|Tool & Integration Platform|Chat UI & Frontend|LLM SDK & Library|API & Backend Service
753490180,daytonaio/daytona,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,72375,38.55,"[20.4, 34.07, 38.99, 37.98, 38.37, 34.52, 38.7, 41.27, 38.89, 44.24, 41.71, 38.55]",TypeScript,2024-02-06,"agentic-workflow,ai,ai-agents,ai-runtime,ai-sandboxes,code-execution,code-interpreter,developer-tools",Tool & Integration Platform|LLM SDK & Library|LLM Gateway & Proxy|MCP (Model Context Protocol)|Workflow Orchestration
1074561042,steveyegge/beads,Beads - A memory upgrade for your coding agent,21071,,"[null, null, null, null, null, null, 17.78, 27.04, 45.99, 57.97, 58.71]",Go,2025-10-12,"agents,claude-code,coding",Workflow Orchestration|Memory & Knowledge|Coding Agent|Agent Framework|MCP (Model Context Protocol)|Multi-Agent System|Observability & Evaluation|API & Backend Service
1012087571,router-for-me/CLIProxyAPI,"Wrap Gemini CLI, Antigravity, ChatGPT Codex, Claude Code as an OpenAI/Gemini/Claude/Codex compatible API service, allowing you to enjoy the free Gemini 2.5 Pro, GPT 5, Claude model through API",28081,66.21,"[null, null, null, null, null, 10.51, 16.06, 28.18, 51.19, 70.54, 62.16, 66.21]",Go,2025-07-01,"antigravity,claude-code,cluade,codex,gemini,openai",Coding Agent|LLM Gateway & Proxy|LLM SDK & Library|AI Infrastructure & Platform|API & Backend Service|Notebook & Development Environment|Vector Database & RAG|Tool & Integration Platform
1027384981,langchain-ai/deepagents,"Agent harness built with LangChain and LangGraph. Equipped with a planning tool, a filesystem backend, and the ability to spawn subagents - well-equipped to handle complex agentic tasks.",21607,66.47,"[null, null, null, null, 11.92, 13.6, 19.57, 36.46, 33.21, 61.73, 71.06, 66.47]",Python,2025-07-27,"ai,deepagents,langchain,langgraph",Agent Framework|Memory & Knowledge|MCP (Model Context Protocol)|Coding Agent|LLM SDK & Library|Search & Information Retrieval|Tool & Integration Platform|API & Backend Service
1132431999,aden-hive/hive,Multi-Agent Harness for Production AI,10125,166.27,"[null, null, null, null, null, null, null, null, null, null, 239.1, 166.27]",Python,2026-01-12,"agent,agent-framework,agent-skills,anthropic,automation,autonomous-agents,claude,harness,harness-engineering,human-in-the-loop,openai,python,self-hosted,self-improving",Multi-Agent System|Agent Framework|MCP (Model Context Protocol)|Observability & Evaluation|Memory & Knowledge|Browser Agent|LLM Gateway & Proxy|Workflow Orchestration
1076863218,MoonshotAI/kimi-cli,Kimi Code CLI is your next CLI agent.,8129,34.95,"[null, null, null, null, null, null, 15.68, 25.16, 22.38, 28.95, 40.89, 34.95]",Python,2025-10-15,,MCP (Model Context Protocol)|Notebook & Development Environment|Tool & Integration Platform|Coding Agent|Chat UI & Frontend
676672661,langchain-ai/langgraph,Build resilient language agents as graphs.,30106,27.79,"[100.3, 115.86, 112.9, 123.66, 89.91, 63.67, 44.95, 45.26, 30.49, 23.99, 20.9, 27.79]",Python,2023-08-09,"agents,ai,ai-agents,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag",Agent Framework|Memory & Knowledge|Workflow Orchestration|Vector Database & RAG|Observability & Evaluation|LLM SDK & Library
659402878,spring-projects/spring-ai,An Application Framework for AI Engineering,8559,38.01,"[120.5, 138.07, 115.48, 102.26, 96.82, 87.16, 72.93, 69.58, 61.8, 53.43, 41.7, 38.01]",Java,2023-06-27,"artificial-intelligence,hacktoberfest,java,spring-ai",Vector Database & RAG|Speech & Voice AI|Observability & Evaluation|Agent Framework|Memory & Knowledge|Data Processing & ETL|Deep Learning Core|LLM Inference|GraphRAG & Knowledge Graph|Model Training & Fine-tuning|Tool & Integration Platform|LLM SDK & Library|API & Backend Service
560704231,run-llama/llama_index,LlamaIndex is the leading document agent and OCR platform,48834,29.34,"[132.56, 126.48, 122.62, 101.27, 78.72, 66.66, 56.11, 41.23, 34.39, 37.64, 34.87, 29.34]",Python,2022-11-02,"agents,application,data,fine-tuning,framework,llamaindex,llm,multi-agents,rag,vector-database",LLM SDK & Library|Vector Database & RAG|Agent Framework|Model Training & Fine-tuning|Data Processing & ETL
